bonjour|hello
au revoir|goodbye
merci|thanks
s'il vous plaît|please
excusez-moi|excuse me
pardon|sorry
oui|yes
non|no
peut-être|maybe
de rien|welcome
salut|hi
bonsoir|good evening
bonne nuit|good night
à bientôt|see you
ça va|how are you
très bien|very good
comment|how
où|where
quand|when
pourquoi|why
qui|who
quoi|what
le|the
la|the
les|the
un|a
une|a
et|and
ou|or
mais|but
avec|with
sans|without
pour|for
dans|in
sur|on
sous|under
devant|front
derrière|behind
à côté|beside
entre|between
chez|at
de|of
à|to
vers|toward
depuis|since
pendant|during
après|after
avant|before
maintenant|now
aujourd'hui|today
hier|yesterday
demain|tomorrow
semaine|week
mois|month
année|year
jour|day
nuit|night
matin|morning
midi|noon
soir|evening
temps|time
heure|hour
minute|minute
lundi|monday
mardi|tuesday
mercredi|wednesday
jeudi|thursday
vendredi|friday
samedi|saturday
dimanche|sunday
janvier|january
février|february
mars|march
avril|april
mai|may
juin|june
juillet|july
août|august
septembre|september
octobre|october
novembre|november
décembre|december
printemps|spring
été|summer
automne|autumn
hiver|winter
je|I
tu|you
il|he
elle|she
nous|we
vous|you
ils|they
elles|they
mon|my
ma|my
mes|my
ton|your
ta|your
tes|your
son|his
sa|her
ses|their
notre|our
votre|your
leur|their
être|be
avoir|have
faire|do
aller|go
venir|come
voir|see
savoir|know
pouvoir|can
vouloir|want
devoir|must
dire|say
prendre|take
donner|give
mettre|put
partir|leave
arriver|arrive
rester|stay
sortir|exit
entrer|enter
monter|up
descendre|down
tourner|turn
marcher|walk
courir|run
nager|swim
voler|fly
tomber|fall
porter|carry
tenir|hold
ouvrir|open
fermer|close
commencer|start
finir|finish
continuer|continue
arrêter|stop
choisir|choose
essayer|try
réussir|succeed
gagner|win
perdre|lose
trouver|find
chercher|search
montrer|show
expliquer|explain
comprendre|understand
apprendre|learn
enseigner|teach
étudier|study
lire|read
écrire|write
écouter|listen
parler|speak
répondre|answer
demander|ask
penser|think
croire|believe
espérer|hope
rêver|dream
dormir|sleep
manger|eat
boire|drink
cuisiner|cook
acheter|buy
